城市,行政区,楼宇名称,地址,楼宇性质,楼盘级别,入住日期,楼层,楼栋数,门洞数,租价,居住户数,入住人数,入住率,等候厅总数,等候厅媒体位,电梯总数,电梯媒体位,媒体位总数,大框数量,小框数量,受众描述,资源类型
昆明,官渡区,海伦国际.里约区8号地,吉祥中路上近金源大道,R-ap住宅,A,,33.0,6.0,6.0,16000.0,7000.0,21000.0,0.95,0.0,0.0,18,,54.0,0.0,54.0,①②⑥,电梯框架
昆明,官渡区,海伦国际.菲诺区9号地,广福路与金源路交汇处,R-ap住宅,A,,11.0,8.0,8.0,13000.0,6400.0,19200.0,0.95,0.0,0.0,23,,69.0,0.0,69.0,①②⑥,电梯框架
昆明,官渡区,海伦国际.贝宁区10号地,广福路与金源路交汇处,R-ap住宅,A,,33.0,8.0,8.0,16000.0,9000.0,27000.0,0.95,0.0,0.0,8,,24.0,0.0,24.0,①②⑥,电梯框架
昆明,官渡区,海伦国际.柏林区11号,吉祥中路,R-ap住宅,A,,33.0,12.0,12.0,16000.0,13000.0,39000.0,0.95,0.0,0.0,12,,36.0,0.0,36.0,①②⑥,电梯框架
昆明,官渡区,海伦国际.洛林区12号地,吉祥中路与金源大道,R-ap住宅,A,,40.0,9.0,9.0,16000.0,10000.0,30000.0,0.95,0.0,0.0,9,,27.0,0.0,27.0,①②⑥,电梯框架
昆明,官渡区,海伦国际.泰晤士区13号地,吉祥中路与金源大道,R-ap住宅,A,,33.0,10.0,10.0,16000.0,14000.0,42000.0,0.95,0.0,0.0,10,,30.0,0.0,30.0,①②⑥,电梯框架
昆明,官渡区,云峰家园,官渡区新螺蛳湾对面,R-ap住宅,A,,11.0,4.0,11.0,11000.0,1800.0,5400.0,0.95,0.0,0.0,11,,55.0,0.0,55.0,①②⑥,电梯框架
昆明,官渡区,欣景花园﹒馨和园,广居路,R-ap住宅,A,,17.0,22.0,52.0,10000.0,18000.0,54000.0,0.95,0.0,0.0,106,,424.0,0.0,424.0,①②⑥,电梯框架
昆明,官渡区,欣景花园﹒居安园,广居路,R-ap住宅,A,,17.0,19.0,58.0,10000.0,17000.0,51000.0,0.95,0.0,0.0,118,,472.0,0.0,472.0,①②⑥,电梯框架
昆明,官渡区,欣景花园﹒永泰园,广居路,R-ap住宅,A,,17.0,25.0,74.0,10000.0,21200.0,63600.0,0.95,0.0,0.0,148,,592.0,0.0,592.0,①②⑥,电梯框架
