省（直辖市）,城市,播控形式,城市级别,行政区,商圈,点位名称,场景,位置,尺寸（宽*高）,面积,MR尺寸,时长（S）,轮播频次(次/天),周期,周客流（万）,120刊例价,180刊例价,地址,亮屏时间
江西,南昌,单点播控,二线,红谷滩,庐山南大道商圈,南昌红谷滩地铁万科广场,户外,大门正上方户外,13.54*9.508,128.74,,15.0,180.0,1,25.0,,120000.0,江西省南昌市红谷滩区庐山南大道525号,09:30-22:30
江西,南昌,单点播控,二线,红谷滩,万达商圈,南昌红谷滩万达广场,中庭,中庭LED屏,6*12,72.0,,15.0,180.0,1,36.0,,100000.0,南昌市红谷滩区红谷滩新区会展路999号,"周1至5:10:00-22:00
周六日:10:00-22:00"
江西,南昌,单点播控,二线,东湖,中山路商圈,南昌百盛B馆,户外,户外屏,20.8*10.88,226.0,,15.0,180.0,1,80.0,,160000.0,江西省南昌市东湖区中山路209号,8:00-22:00
江西,南昌,单点播控,二线,青云谱,城南商圈,南昌王府井购物中心,中庭,主中庭,9.98*5.75,56.0,,15.0,180.0,4,50.0,,300000.0,南昌市青云谱区洪城路188号,10:00-22:00
江西,南昌,单点播控,二线,新建,赣西商圈,南昌新建吾悦广场,中庭,中庭,7.296*2.688,19.61,,15.0,120.0,1,35.0,30000.0,,南昌市新建区长堎大道与子实路交叉口,10:00-22:00
江西,南昌,单点播控,百强,红谷滩区,红角周商圈,南昌万象城（户外）,户外,外立面东北角（正对摩天轮）,（13.12+8.64）*9.76,98.62,,15.0,120.0,1,50.0,400000.0,,江西省南昌市红谷滩区学府大道388号,10:00-22:00
江西,南昌,单点播控,C,南昌市,南昌青山湖万达,南昌青山湖万达广场,中庭,环廊屏,13.2*0.68,8.976,,15.0,120.0,1,18.9,40000.0,,江西省南昌市青山湖区京东南大道1666号,10:00-21:30
江西,南昌,单点播控,C,南昌市,南昌青山湖万达,南昌青山湖万达广场(户外),户外,1号门上方屏,14.4*8.1,116.64,,15.0,120.0,1,25.0,50000.0,,江西省南昌市青山湖区京东南大道1667号,10:00-21:30
江西,南昌,单点播控,A,南昌市,南昌红谷滩万达,南昌红谷滩万达广场(户外),户外,2号门型屏,(空白),,,15.0,120.0,1,80.0,300000.0,,江西省南昌市红谷滩区会展路999号,09:00-23:00
江西,南昌,单点播控,A,南昌市,南昌红谷滩万达,南昌红谷滩万达广场B,中庭,中庭曲屏（横屏）,(空白),,,15.0,120.0,1,200.0,400000.0,,江西省南昌市红谷滩区会展路999号,09:00-23:00
江西,南昌,单点播控,D,南昌市,南昌新建城万达广场,南昌新建城万达广场(户外),户外,1号门上方屏,15.04*7.68,115.51,,15.0,120.0,1,15.0,40000.0,,江西省南昌市新建区望城镇双云路c1地块,10:00-22:00
江西,萍乡,单点播控,五线,安源,凤凰天成商圈,萍乡润达广场,出入口,南北入口+户外共计3块屏,"南屏:8.2*2.8=22.96
北屏:12*2.8=33.6
户外：1036平方",56.56,,15.0,180.0,4,20.0,,120000.0,萍乡市安源区后埠街楚萍东路98号,10:00-22:00
江西,萍乡,单点播控,五线,安源,凤凰天成商圈,萍乡天虹购物中心,中庭,中庭落地舞台屏,7*3,21.0,,15.0,180.0,1,20.0,,30000.0,萍乡市安源区萍安中大道40号附近,10:00-22:00
江西,上饶,单点播控,三线,广信,高灯杆百亿商圈,上饶吾悦广场,中庭,主中庭,6.8*2.7,18.36,,15.0,180.0,1,35.0,,60000.0,上饶市广信区凤凰大道与旭日大道交汇处,10:00-22:00
江西,上饶,单点播控,三线,信州,老火车站商圈,上饶万达广场1号,中庭,1号中庭,4*8,32.0,,15.0,120.0,1,35.0,60000.0,,上饶市信州区滨江西路66号,10:00-22:00
江西,上饶,单点播控,A,上饶市,上饶信州万达,上饶信州万达广场X,中庭,5号门上方,4*8,32.0,,15.0,120.0,1,60.0,60000.0,,江西省上饶市信州区滨江西路66号,10:00-22:00
江西,宜春,单点播控,三线,高安市,沪瑞线商圈,宜春高安润达国际购物中心,中庭,中庭,7.37*2.8,20.64,,15.0,120.0,1,18.0,25000.0,,宜春市高安市沪瑞线与锦惠中路交叉路口往西,10:00-22:00
江西,宜春,单点播控,三线,袁州,润达商圈,宜春润达国际购物中心（户外）,户外,1号门室外大屏,18*9.8,176.4,,15.0,180.0,4,20.0,,240000.0,宜春市袁州区黄颇路228号,10:00-22:00
江西,宜春,单点播控,C,袁州区,宜春袁州万达,宜春袁州万达广场X(户外),户外,3号门幕墙,13.89*7.62m,105.77,,15.0,120.0,1,21.0,30000.0,,江西省宜春市袁州区宜阳东大道6号,10:00-22:00
江西,鹰潭,单点播控,五线,月湖,玉清路商圈,鹰潭天虹购物中心,中庭,南区中庭,4*3,12.0,,15.0,120.0,4,,80000.0,,鹰潭市月湖区玉清路与象山路交叉口东南角,10:00-22:00
江西,景德镇,单点播控,四线,昌南新区,中国陶瓷博物馆商圈,景德宝龙广场（经一路店）（户外）,户外,1号门头屏,12.8*8,102.4,,15.0,120.0,1,20.0,100000.0,,江西省景德镇市昌江区光明大道与发展路交叉口西北200米,10:00-22:00
江西,新余,单点播控,五线,渝水区,城北核心商圈,新余恒太城（户外）,户外,户外门头屏,14.6*12,175.2,,15.0,120.0,1,39.0,50000.0,,江西省新余市渝水区北湖西路158号,10:00-22:00
江西,抚州市,单点播控,四线,临川区,核心商圈,抚州万达广场（户外）,户外,1号门右上方,13.6*7.65,104.04,,15.0,120.0,1,38.0,100000.0,,江西省抚州市临川区迎宾大道688号,10:00-22:00
